id,weekly_increase_rate_plan
example_0103,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 60%x3
SET2 70%x3
SET3 80%x3+

Week3
SET1 65%x5
SET2 75%x3
SET3 85%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0104,"Week1
SET1 65%x5
SET2 70%x5
SET3 75%x5+

Week2
SET1 75%x3
SET2 80%x3
SET3 85%x3+

Week3
SET1 85%x5
SET2 90%x3
SET3 95%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0105,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 55%x3
SET2 60%x3
SET3 65%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0106,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 70%x5
SET2 80%x3
SET3 90%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0107,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 80%x5
SET2 85%x3
SET3 90%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0108,"Week1
SET1 65%x5
SET2 70%x5
SET3 75%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 75%x5
SET2 80%x3
SET3 85%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0109,"Week1
SET1 65%x5
SET2 70%x5
SET3 75%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 75%x5
SET2 80%x3
SET3 85%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0110,"Week1
SET1 65%x5
SET2 70%x5
SET3 75%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 75%x5
SET2 80%x3
SET3 85%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0111,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 55%x3
SET2 60%x3
SET3 65%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0112,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0113,"Week1
SET1 50%x5
SET2 55%x5
SET3 60%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 70%x5
SET2 75%x3
SET3 80%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0114,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 55%x5
SET2 60%x3
SET3 65%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0115,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0116,"Week1
SET1 40%x5
SET2 50%x5
SET3 60%x5+

Week2
SET1 45%x3
SET2 55%x3
SET3 65%x3+

Week3
SET1 50%x5
SET2 60%x3
SET3 70%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0117,"Week1
SET1 50%x5
SET2 55%x5
SET3 60%x5+

Week2
SET1 55%x3
SET2 60%x3
SET3 65%x3+

Week3
SET1 60%x5
SET2 65%x3
SET3 70%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0118,"Week1
SET1 40%x5
SET2 50%x5
SET3 60%x5+

Week2
SET1 50%x3
SET2 60%x3
SET3 70%x3+

Week3
SET1 60%x5
SET2 70%x3
SET3 80%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0119,"Week1
SET1 50%x5
SET2 55%x5
SET3 60%x5+

Week2
SET1 55%x3
SET2 60%x3
SET3 65%x3+

Week3
SET1 60%x5
SET2 65%x3
SET3 70%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0120,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 55%x3
SET2 60%x3
SET3 65%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0121,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 55%x5
SET2 60%x3
SET3 65%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0122,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0123,"Week1
SET1 50%x5
SET2 55%x5
SET3 60%x5+

Week2
SET1 55%x3
SET2 60%x3
SET3 65%x3+

Week3
SET1 60%x5
SET2 65%x3
SET3 70%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0124,"Week1
SET1 45%x5
SET2 55%x5
SET3 65%x5+

Week2
SET1 50%x3
SET2 60%x3
SET3 70%x3+

Week3
SET1 55%x5
SET2 65%x3
SET3 75%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0125,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0126,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 80%x5
SET2 85%x3
SET3 90%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0127,"Week1
SET1 45%x5
SET2 55%x5
SET3 65%x5+

Week2
SET1 50%x3
SET2 60%x3
SET3 70%x3+

Week3
SET1 55%x5
SET2 65%x3
SET3 75%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0128,"Week1
SET1 45%x5
SET2 55%x5
SET3 65%x5+

Week2
SET1 50%x3
SET2 60%x3
SET3 70%x3+

Week3
SET1 55%x5
SET2 65%x3
SET3 75%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0129,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 65%x3
SET2 70%x3
SET3 75%x3+

Week3
SET1 75%x5
SET2 80%x3
SET3 85%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0130,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 65%x3
SET2 70%x3
SET3 75%x3+

Week3
SET1 70%x5
SET2 75%x3
SET3 80%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0131,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0132,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 65%x3
SET2 70%x3
SET3 75%x3+

Week3
SET1 70%x5
SET2 75%x3
SET3 80%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0133,"Week1
SET1 40%x5
SET2 50%x5
SET3 60%x5+

Week2
SET1 45%x3
SET2 55%x3
SET3 65%x3+

Week3
SET1 50%x5
SET2 60%x3
SET3 70%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0134,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0135,"Week1
SET1 50%x5
SET2 60%x5
SET3 70%x5+

Week2
SET1 55%x3
SET2 65%x3
SET3 75%x3+

Week3
SET1 60%x5
SET2 70%x3
SET3 80%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0136,"Week1
SET1 40%x5
SET2 50%x5
SET3 60%x5+

Week2
SET1 45%x3
SET2 55%x3
SET3 65%x3+

Week3
SET1 50%x5
SET2 60%x3
SET3 70%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0137,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0138,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 65%x3
SET2 70%x3
SET3 75%x3+

Week3
SET1 75%x5
SET2 80%x3
SET3 85%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0139,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 65%x3
SET2 70%x3
SET3 75%x3+

Week3
SET1 70%x5
SET2 75%x3
SET3 80%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0140,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 70%x3
SET2 80%x3
SET3 90%x3+

Week3
SET1 80%x5
SET2 90%x3
SET3 100%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0141,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 80%x5
SET2 85%x3
SET3 90%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0142,"Week1
SET1 65%x5
SET2 70%x5
SET3 75%x5+

Week2
SET1 75%x3
SET2 80%x3
SET3 85%x3+

Week3
SET1 85%x5
SET2 90%x3
SET3 95%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0143,"Week1
SET1 65%x5
SET2 75%x5
SET3 85%x5+

Week2
SET1 75%x3
SET2 85%x3
SET3 95%x3+

Week3
SET1 85%x5
SET2 95%x3
SET3 105%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0144,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 70%x5
SET2 80%x3
SET3 90%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0145,"Week1
SET1 50%x5
SET2 60%x5
SET3 70%x5+

Week2
SET1 60%x3
SET2 70%x3
SET3 80%x3+

Week3
SET1 70%x5
SET2 80%x3
SET3 90%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0146,"Week1
SET1 50%x5
SET2 55%x5
SET3 60%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 70%x5
SET2 75%x3
SET3 80%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0147,"Week1
SET1 45%x5
SET2 55%x5
SET3 65%x5+

Week2
SET1 50%x3
SET2 60%x3
SET3 70%x3+

Week3
SET1 55%x5
SET2 65%x3
SET3 75%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0148,"Week1
SET1 50%x5
SET2 60%x5
SET3 70%x5+

Week2
SET1 55%x3
SET2 65%x3
SET3 75%x3+

Week3
SET1 60%x5
SET2 70%x3
SET3 80%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0149,"Week1
SET1 45%x5
SET2 55%x5
SET3 65%x5+

Week2
SET1 55%x3
SET2 65%x3
SET3 75%x3+

Week3
SET1 65%x5
SET2 75%x3
SET3 85%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0150,"Week1
SET1 65%x5
SET2 70%x5
SET3 75%x5+

Week2
SET1 75%x3
SET2 80%x3
SET3 85%x3+

Week3
SET1 85%x5
SET2 90%x3
SET3 95%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0151,"Week1
SET1 65%x5
SET2 75%x5
SET3 85%x5+

Week2
SET1 75%x3
SET2 85%x3
SET3 95%x3+

Week3
SET1 85%x5
SET2 95%x3
SET3 105%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0152,"Week1
SET1 65%x5
SET2 75%x5
SET3 85%x5+

Week2
SET1 75%x3
SET2 85%x3
SET3 95%x3+

Week3
SET1 85%x5
SET2 95%x3
SET3 105%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0153,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0154,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 60%x3
SET2 70%x3
SET3 80%x3+

Week3
SET1 65%x5
SET2 75%x3
SET3 85%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0155,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 70%x3
SET2 80%x3
SET3 90%x3+

Week3
SET1 80%x5
SET2 90%x3
SET3 100%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0156,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 65%x3
SET2 70%x3
SET3 75%x3+

Week3
SET1 75%x5
SET2 80%x3
SET3 85%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0157,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0158,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 55%x3
SET2 60%x3
SET3 65%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0159,"Week1
SET1 50%x5
SET2 60%x5
SET3 70%x5+

Week2
SET1 55%x3
SET2 65%x3
SET3 75%x3+

Week3
SET1 60%x5
SET2 70%x3
SET3 80%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0160,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 55%x3
SET2 60%x3
SET3 65%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0161,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 60%x5
SET2 65%x3
SET3 70%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0162,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 60%x5
SET2 65%x3
SET3 70%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0163,"Week1
SET1 65%x5
SET2 70%x5
SET3 75%x5+

Week2
SET1 75%x3
SET2 80%x3
SET3 85%x3+

Week3
SET1 85%x5
SET2 90%x3
SET3 95%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0164,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0165,"Week1
SET1 50%x5
SET2 60%x5
SET3 70%x5+

Week2
SET1 60%x3
SET2 70%x3
SET3 80%x3+

Week3
SET1 70%x5
SET2 80%x3
SET3 90%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0166,"Week1
SET1 40%x5
SET2 50%x5
SET3 60%x5+

Week2
SET1 50%x3
SET2 60%x3
SET3 70%x3+

Week3
SET1 60%x5
SET2 70%x3
SET3 80%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0167,"Week1
SET1 45%x5
SET2 55%x5
SET3 65%x5+

Week2
SET1 55%x3
SET2 65%x3
SET3 75%x3+

Week3
SET1 65%x5
SET2 75%x3
SET3 85%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0168,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 65%x3
SET2 70%x3
SET3 75%x3+

Week3
SET1 75%x5
SET2 80%x3
SET3 85%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0169,"Week1
SET1 50%x5
SET2 55%x5
SET3 60%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 70%x5
SET2 75%x3
SET3 80%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0170,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 80%x5
SET2 85%x3
SET3 90%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0171,"Week1
SET1 50%x5
SET2 55%x5
SET3 60%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 70%x5
SET2 75%x3
SET3 80%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0172,"Week1
SET1 45%x5
SET2 55%x5
SET3 65%x5+

Week2
SET1 55%x3
SET2 65%x3
SET3 75%x3+

Week3
SET1 65%x5
SET2 75%x3
SET3 85%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0173,"Week1
SET1 50%x5
SET2 55%x5
SET3 60%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 70%x5
SET2 75%x3
SET3 80%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0174,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 45%x3
SET2 50%x3
SET3 55%x3+

Week3
SET1 50%x5
SET2 55%x3
SET3 60%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0175,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 60%x5
SET2 65%x3
SET3 70%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0176,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 70%x3
SET2 80%x3
SET3 90%x3+

Week3
SET1 80%x5
SET2 90%x3
SET3 100%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0177,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 55%x5
SET2 60%x3
SET3 65%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0178,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 70%x3
SET2 80%x3
SET3 90%x3+

Week3
SET1 80%x5
SET2 90%x3
SET3 100%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0179,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 70%x5
SET2 80%x3
SET3 90%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0180,"Week1
SET1 65%x5
SET2 75%x5
SET3 85%x5+

Week2
SET1 70%x3
SET2 80%x3
SET3 90%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0181,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0182,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 60%x5
SET2 65%x3
SET3 70%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0183,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 65%x3
SET2 70%x3
SET3 75%x3+

Week3
SET1 75%x5
SET2 80%x3
SET3 85%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0184,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0185,"Week1
SET1 40%x5
SET2 50%x5
SET3 60%x5+

Week2
SET1 50%x3
SET2 60%x3
SET3 70%x3+

Week3
SET1 60%x5
SET2 70%x3
SET3 80%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0186,"Week1
SET1 50%x5
SET2 55%x5
SET3 60%x5+

Week2
SET1 55%x3
SET2 60%x3
SET3 65%x3+

Week3
SET1 60%x5
SET2 65%x3
SET3 70%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0187,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 55%x3
SET2 60%x3
SET3 65%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0188,"Week1
SET1 45%x5
SET2 55%x5
SET3 65%x5+

Week2
SET1 50%x3
SET2 60%x3
SET3 70%x3+

Week3
SET1 55%x5
SET2 65%x3
SET3 75%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0189,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 70%x5
SET2 80%x3
SET3 90%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0190,"Week1
SET1 50%x5
SET2 55%x5
SET3 60%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 70%x5
SET2 75%x3
SET3 80%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0191,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 70%x5
SET2 80%x3
SET3 90%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0192,"Week1
SET1 50%x5
SET2 60%x5
SET3 70%x5+

Week2
SET1 55%x3
SET2 65%x3
SET3 75%x3+

Week3
SET1 60%x5
SET2 70%x3
SET3 80%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0193,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 45%x3
SET2 50%x3
SET3 55%x3+

Week3
SET1 50%x5
SET2 55%x3
SET3 60%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0194,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 45%x3
SET2 50%x3
SET3 55%x3+

Week3
SET1 50%x5
SET2 55%x3
SET3 60%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0195,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 45%x3
SET2 50%x3
SET3 55%x3+

Week3
SET1 50%x5
SET2 55%x3
SET3 60%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0196,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0197,"Week1
SET1 65%x5
SET2 70%x5
SET3 75%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 75%x5
SET2 80%x3
SET3 85%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0198,"Week1
SET1 45%x5
SET2 55%x5
SET3 65%x5+

Week2
SET1 50%x3
SET2 60%x3
SET3 70%x3+

Week3
SET1 55%x5
SET2 65%x3
SET3 75%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0199,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 80%x5
SET2 85%x3
SET3 90%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0200,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 65%x3
SET2 70%x3
SET3 75%x3+

Week3
SET1 70%x5
SET2 75%x3
SET3 80%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0201,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 60%x3
SET2 70%x3
SET3 80%x3+

Week3
SET1 65%x5
SET2 75%x3
SET3 85%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0202,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 65%x3
SET2 70%x3
SET3 75%x3+

Week3
SET1 70%x5
SET2 75%x3
SET3 80%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0203,"Week1
SET1 65%x5
SET2 70%x5
SET3 75%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 75%x5
SET2 80%x3
SET3 85%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0204,"Week1
SET1 65%x5
SET2 75%x5
SET3 85%x5+

Week2
SET1 70%x3
SET2 80%x3
SET3 90%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0205,"Week1
SET1 65%x5
SET2 75%x5
SET3 85%x5+

Week2
SET1 75%x3
SET2 85%x3
SET3 95%x3+

Week3
SET1 85%x5
SET2 95%x3
SET3 105%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
